,contentid,contenttypeid,title,overview,firstimage,addr1,mapx,mapy,tags
10,1365458,76,Alpensia Ocean 700 (알펜시아 오션700),"Alpensia Resort is a beautiful and exciting resort that offers unique programs unavailable at other resorts. Among their facilities, Alpensia  Ocean 700 suits as the perfect family water park, located on the refreshing highland of Daegwallyeong at an altitude of 700 meters. The water park aims to provide convenient and relaxing facilities in an indoor area where visitors can have fun at any time of the year.",http://tong.visitkorea.or.kr/cms/resource/07/904407_image2_1.jpg,"325, Solbong-ro, Pyeongchang-gun, Gangwon-do",128.6907658364,37.6612362616,"['alpensia', 'year', 'unavailable', 'exciting', 'highland', 'meters', 'unique', 'relaxing', 'daegwallyeong', 'resorts', 'provide', 'beautiful', 'ocean', 'aims', 'resort', 'park', 'perfect', 'facilities', 'convenient', 'indoor', 'refreshing', 'family', 'water', 'suits', 'programs', '700', 'among', 'fun', 'time', 'altitude']"
11,1351776,76,Alpensia Resort (알펜시아 리조트),"Alpensia Resort, located approx. 184 kilometers from Seoul in Daegwallyeong, Pyeongchang-gun, Gangwon-do, is a tourism & leisure complex open year round. The resort allows visitors to enjoy the area’s pristine natural beauty throughout each of the four seasons. The name ""Alpensia"" is a combination of the words ""Alpen,"" (German for the Alps), ""Asia,"" and ""Fantasia;"" together they reflect the resort’s scenic view of the ""fantastic Alps of Asia."" <br><br>The complex boasts a variety of super deluxe luxury accommodations and top-notch leisure facilities such as a 45-hole golf course, convention center, water park and ski slopes. The resort successfully hosted the IBU Biathlon World Cup Pyeongchang in 2008 and boasts excellent ski jump and biathlon facilities, a monorail, cross-country ski slopes, and a large stadium.  After a hard day out on the slopes or golf course, visitors can head to the sky lounge, ecology learning center, or Retail Village shopping mall. The resort is also adjacent to many other tourist attractions such as Odaesan Mountain, Samyang Sheep Ranch, Korea Botanic Garden, Lee Hyo-Seok Memorial Hall, and Herbnara Farm.",,"325, Solbong-ro, Pyeongchang-gun, Gangwon-do",128.6730480942,37.6577640991,"['crosscountry', 'throughout', 'course', 'large', 'daegwallyeong', 'slopes', 'hard', 'fantastic', 'successfully', 'hall', 'seasons', 'village', 'resort', 'brbrthe', 'facilities', 'center', 'natural', 'variety', 'learning', 'day', 'pyeongchanggun', 'ranch', 'name', 'year', 'words', 'reflect', 'stadium', '2008', 'approx', 'pyeongchang', 'accommodations', 'super', 'scenic', 'convention', 'resorts', 'tourism', 'attractions', 'pristine', 'german', 'herbnara', 'water', 'mall', 'biathlon', 'seoul', 'lounge', 'hosted', 'botanic', 'combination', 'leisure', 'kilometers', 'together', 'deluxe', 'round', 'luxury', 'tourist', 'sheep', 'alpensia', 'monorail', 'farm', 'samyang', 'view', 'open', 'alpen', 'boasts', 'jump', 'complex', 'beauty', 'four', 'cup', 'ecology', 'garden', 'ibu', 'areas', 'sky', 'lee', '184', 'adjacent', 'odaesan', 'world', 'shopping', 'hyoseok', 'retail', 'ski', 'park', 'head', 'allows', 'fantasia', 'asia', 'topnotch', 'golf', 'alps', 'memorial', 'excellent', 'mountain', '45hole']"
12,1133074,75,Alpensia Ski Resort (알펜시아리조트 스키장),"Alpensia Ski Resort has six slopes for skiers and snowboarders to enjoy. Runs as long as 1.4km provide a dynamic experience for both beginners and experienced skiers and snowboarders. There is also an area exclusively for advanaced snowboarders to practice their skills.  Alpensia is not just for winter enthusiasts; the year-round resort transforms the lower, Apron Area, of the mountain into a 100,000㎡ wild flower garden during summer months.",http://tong.visitkorea.or.kr/cms/resource/99/1985699_image2_1.jpg,"325, Solbong-ro, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",128.6743702048,37.6575030436,"['skills', 'skiers', 'alpensia', 'wild', 'flower', 'long', 'exclusively', 'six', 'enthusiasts', 'lower', 'advanaced', '100000㎡', 'slopes', 'experienced', 'provide', 'transforms', 'ski', 'yearround', 'resort', 'beginners', 'apron', 'summer', 'winter', 'months', 'runs', 'snowboarders', 'dynamic', 'practice', 'experience', 'garden', '14km', 'mountain']"
13,2494805,76,Anheung Jjinppang Village (안흥찐빵마을),"Anheung Jjinppang Village is located along National Highway 42, connecting Seoul and Gangneung. Travelers passing Daegwallyeong on their way to Seoul from the Yeongdong area often stopped here to have a light lunch from old times. Anheung jjinppang (Anheung-style steamed bun) was enough to satisfy their hunger. Over time, Anheung jjinppang has become one of Korea's famous nostalgic snacks.<br><br>

Jucheongang River, beginning from Taegisan Mountain and flowing through Yeongwol, offers the proper humid condition perfect for the bun's aging process. As of now, there are over 10 shops dedicated to selling steamed buns in the village. Since the early 1990s, over one million people have come to Anheung Jjinppang Village to get these steamed buns which became popular through word-of-mouth. <br><br>

Anheung jjinppang is made with high-quality red bean, using the traditional cooking process that creates the homemade flavor, which is immediatedly recognized by the mouth that has become used to instant foods.",http://tong.visitkorea.or.kr/cms/resource/82/1583982_image2_1.jpg,"27, Anheung-ro, Hoengseong-gun, Gangwon-do",128.1560576142,37.4124326159,"['famous', 'condition', 'lunch', 'times', 'passing', 'become', 'red', 'homemade', 'traditional', 'daegwallyeong', 'flowing', 'people', 'village', 'way', 'river', 'old', 'early', 'light', 'jjinppang', 'jucheongang', 'immediatedly', 'gangneung', 'flavor', 'travelers', 'perfect', 'snacksbrbr', 'often', 'bun', 'using', 'beginning', 'mouth', 'seoul', 'proper', 'cooking', '42', 'creates', 'popular', 'get', 'come', 'made', 'buns', 'anheungstyle', 'hunger', 'national', 'highquality', 'anheung', 'satisfy', 'highway', 'enough', 'koreas', 'used', 'along', '10', 'aging', 'wordofmouth', 'steamed', 'yeongdong', 'brbr', 'million', 'selling', 'shops', 'dedicated', 'yeongwol', 'nostalgic', 'became', 'since', 'foods', 'instant', 'process', 'stopped', 'recognized', '1990s', 'bean', 'humid', 'taegisan', 'time', 'mountain', 'connecting']"
14,2715510,78,Animation Museum & Toy Robot Studio (춘천 애니메이션박물관&토이로봇관),"Located at the Uiam lakeside, the Animation Museum, which is Korea’s only animation museum, has two floors. On the first floor there is the dimensional exhibition hall introducing the origin, birth, and development of the animation, the kinds of animation, and the Korean animation history, as well as the reproductions of a large robot Taekwon V, and the old comic store. The second floor consists of the world hall displaying the animation trend for each country, diverse animation experience activities, and a special exhibition hall. Visitors can experience making sound effects for an animated film using various tools and dubbing a famous animated film such as Run Honey, and Cloud Bread. The Toy Robot Studio, located next to the Animation Museum, provides various experience programs related to robots. Its interesting robot programs are Spider Robot, Mission Robot, Robot Avatar, Robot Dance, Drone Experience, and so on. Both the Animation Museum and the Toy Robot Studio are equipped with convenient facilities for visitors with the background of Uiamho Lake, such as a cafe and souvenir shop, which sells animation characters and toys. The outdoor space also displays cute animation characters on the lawn where children can play freely.",http://tong.visitkorea.or.kr/cms/resource/20/2672820_image2_1.jpg,"854, Baksa-ro, Chuncheon-si, Gangwon-do",127.6918882316,37.8930876473,"['famous', 'country', 'next', 'drone', 'history', 'animated', 'run', 'large', 'robot', 'toys', 'hall', 'kinds', 'development', 'museum', 'facilities', 'space', 'old', 'freely', 'programs', 'reproductions', 'effects', 'uiamho', 'first', 'origin', 'special', 'robots', 'cute', 'sound', 'trend', 'shop', 'lake', 'comic', 'making', 'provides', 'outdoor', 'cloud', 'souvenir', 'activities', 'using', 'lakeside', 'spider', 'introducing', 'second', 'mission', 'experience', 'background', 'taekwon', 'two', 'animation', 'uiam', 'consists', 'exhibition', 'toy', 'koreas', 'dance', 'displaying', 'diverse', 'birth', 'dimensional', 'floors', 'equipped', 'studio', 'children', 'korean', 'floor', 'tools', 'lawn', 'play', 'characters', 'related', 'world', 'displays', 'v', 'sells', 'store', 'interesting', 'convenient', 'bread', 'avatar', 'honey', 'dubbing', 'cafe', 'film']"
15,1891502,76,Anmok Beach (안목해변),"Anmok Beach spans over 500 meters in length and covers an area of 20,000 square meters. The beach is often packed with families on vacation. Right in front of the beach is Anmokhang Port, where around 23 fishing boats can be moored to unload their catch of seaweed in the spring; flatfish, squid, and octopus in the summer; and sailfin sandfish, and pollack in the fall and winter. The place has also become more popular since the main street along the beach earned the reputation as a ""coffee street.""",,"20-1, Changhae-ro 14beon-gil, Gangneung-si, Gangwon-do",128.9473504054,37.7726505813,"['covers', 'moored', 'length', 'seaweed', 'become', 'meters', 'families', 'coffee', '500', 'squid', 'unload', 'sailfin', 'fall', 'around', 'sandfish', 'street', 'since', 'reputation', 'right', 'square', 'front', 'earned', 'spans', 'spring', 'summer', 'often', 'port', 'catch', 'boats', 'main', 'packed', 'along', 'flatfish', 'anmok', 'fishing', 'winter', '20000', '23', 'anmokhang', 'pollack', 'popular', 'beach', 'octopus', 'vacation']"
16,2694179,82,Anmokhang Mulhoe (안목항물회),"It is a place where you can enjoy various types of sashimi. This restaurant's signature menu is cold raw fish soup. This Korean dishes restaurant is located in Gangneung-si, Gangwon-do.",http://tong.visitkorea.or.kr/cms/resource/87/2684887_image2_1.jpg,"2609, Gyeonggang-ro, Gangneung-si, Gangwon-do",128.9451339191,37.7732754657,"['types', 'restaurants', 'cold', 'signature', 'fish', 'dishes', 'menu', 'soup', 'gangneungsi', 'restaurant', 'korean', 'sashimi', 'raw']"
17,1064078,75,Aranaby Zipline (아라나비(스카이 어촌체험)),"As “Ara” means ocean and ""naby"" means butterfly in Korean, Aranaby conveys an image of butterflies flying over the ocean. Aranaby Zipline offers a zipline from18 meter-high tower and flies 300 meters across the ocean. <br><BR>Popular as an eco-tourism activity in diverse countries from the United States to Australia and European countries, ziplines can be enjoyed year-round by people of various ages. Visitors can be assured of their safety as the company has already applied for two patents related to safety, passed safety tests required by the Korea Transportation Safety Authority, and offers a comprehensive liability insurance package.<BR><br>There are many attractions nearby including Namhangjin Beach, trekking course, Anmok Coffee Street and more.",,"35-7, Gonghang-gil 127beon-gil, Gangneung-si, Gangwon-do",128.9515529876,37.766754123,"['ecotourism', 'butterflies', 'two', 'safety', 'meterhigh', 'related', 'required', 'nearby', 'applied', 'meters', 'ziplines', 'course', 'coffee', 'company', 'tower', 'across', 'assured', 'already', 'insurance', 'conveys', 'butterfly', 'ages', 'brbrpopular', 'street', 'aranaby', 'united', 'zipline', 'attractions', 'ara', 'passed', 'ocean', 'people', 'yearround', 'diverse', 'transportation', '300', 'means', 'authority', 'trekking', '“', 'anmok', 'namhangjin', 'countries', 'tests', 'states', 'australia', 'enjoyed', 'from18', 'activity', 'comprehensive', 'packagebrbrthere', 'flies', 'naby', 'patents', 'european', 'liability', 'beach', 'korean', 'image', 'flying', '”']"
18,2695004,82,Arirang Food (아리랑 푸드),"It is a place where you can eat naengmyeon (Korean cold noodle) and meat together. This Korean dishes restaurant is located in Wonju-si, Gangwon-do. The representative menu is cold buckwheat noodles.",http://tong.visitkorea.or.kr/cms/resource/68/2701368_image2_1.jpg,"153-60, Sinjijeong-ro, Wonju-si, Gangwon-do",127.8800669611,37.3746512734,"['buckwheat', 'noodles', 'cold', 'dishes', 'eat', 'representative', 'noodle', 'wonjusi', 'menu', 'together', 'meat', 'korean', 'restaurant', 'naengmyeon']"
19,2817223,78,ARTE Museum Valley Gangneung (아르떼뮤지엄 강릉),"ARTE Museum Valley Gangneung, located by Gyeongpo Lake, is the third immersive media art exhibition presented by d&rsquo;strict, a digital media design company. There are twelve media art exhibitions centered on the theme &ldquo;Valley&rdquo; to reflect the regional characteristics of Gangwon-do and Gangneung, the center of the Baekdu Mountain Range. The works produced under the theme of &ldquo;Eternal Nature&rdquo; have vibrant visuals, sensual sounds, and elegant fragrance adding to the entire experience.<br>",,"131, Nanseolheon-ro, Gangneung-si, Gangwon-do",128.9079034181,37.79008946,"['drsquostrict', 'theme', 'fragrance', 'reflect', 'adding', 'baekdu', 'characteristics', 'range', 'experiencebr', 'company', 'sounds', 'lake', 'centered', 'naturerdquo', 'ldquoeternal', 'exhibition', 'sensual', 'gyeongpo', 'gangneung', 'exhibitions', 'museum', 'media', 'ldquovalleyrdquo', 'regional', 'twelve', 'center', 'valley', 'digital', 'entire', 'visuals', 'design', 'arte', 'elegant', 'works', 'immersive', 'produced', 'art', 'presented', 'third', 'vibrant', 'mountain']"
20,2499122,79,ARTSHOP IMAGINE NAMI [Korea Quality] / 이매진나미 [한국관광 품질인증],"Located on Nami Island in Chuncheon-si, Gangwon-do, Imagine Nami is a store specializing in handmade crafts. Talented craftsmen based on Nami Island began producing works, and Imagine Nami became the place for selling their works, including various accessories made of leather and natural stones, glass crafts, fabric products, paintings, and other design works. Most artifacts deal with natural themes and stories about Nami Island. The recent collection features various handicrafts containing the image of Snowman, the representative icon of Nami Island, and artifacts include tea cups, candle holders, memo holders, magnets, ceramics, and other decorative interior items. <br />At the entrance, the store sells snacks made by Nami Island&rsquo;s own brands; the other section displays handicrafts from Nami Island and other handmade artifacts made by external artists, toys, daily goods, and more. The hanok-style store carrying the charm of the island has served as a popular photo zone for visitors. Nami Island is a small island that can be reached via boat, and the boat fare is inclusive of admission to the island. To visit Imagine Nami, visitors are required to enter Nami Island; while there, they can enjoy various cultures and convenience facilities.<o:p></o:p><br>",http://tong.visitkorea.or.kr/cms/resource/54/2633254_image2_1.jpg,"1, Namiseom-gil, Namsan-myeon, Chuncheon-si, Gangwon-do",127.5261035858,37.7901159965,"['fare', 'handicrafts', 'small', 'artists', 'enter', 'candle', 'boat', 'magnets', 'handmade', 'snacks', 'toys', 'external', 'themes', 'natural', 'glass', 'icon', 'section', 'items', 'carrying', 'holders', 'image', 'began', 'entrance', 'convenience', 'leather', 'hanokstyle', 'goods', 'paintings', 'based', 'decorative', 'served', 'stones', 'stories', 'specializing', 'br', 'popular', 'zone', 'talented', 'made', 'producing', 'cultures', 'crafts', 'interior', 'via', 'containing', 'required', 'ceramics', 'collection', 'artifacts', 'brands', 'include', 'features', 'islandrsquos', 'reached', 'deal', 'recent', 'cups', 'charm', 'daily', 'tea', 'selling', 'admission', 'imagine', 'displays', 'visit', 'facilitiesopopbr', 'became', 'sells', 'chuncheonsi', 'nami', 'store', 'inclusive', 'photo', 'design', 'works', 'snowman', 'craftsmen', 'representative', 'products', 'memo', 'accessories', 'island', 'fabric']"
21,2863042,79,Artshop Snowman (스노우맨 아트샵),"The shop has small, artsy Nami snowman and pet-friendly products.",,"1 , Namiseom-gil, Chuncheon-si, Gangwon-do",127.5255090138,37.7963208193,"['shop', 'snowman', 'products', 'small', 'nami', 'artsy', 'petfriendly']"
22,2855645,82,Asian Family Restaurant Dongmoon (동문),"Asian Family Restaurant Dongmoon specializes in dining for couples and families. Halal food is also available, fulfilling the needs of our Muslim visitors from around the globe.<br>",,"1 , Namiseom-gil, Chuncheon-si, Gangwon-do",127.5255090138,37.7963208193,"['dining', 'food', 'asian', 'needs', 'globebr', 'around', 'fulfilling', 'halal', 'muslim', 'specializes', 'restaurant', 'family', 'dongmoon', 'available', 'families', 'couples']"
23,626418,76,Auraji Lake (아우라지),"Auraji is the name of a lake located in Yeoryang-myeon in Jeongseon-gun. It is here that Jeongseon Arirang, the Intangible Cultural Asset of Gangwon-do, originated. The area has long been famous for its beautiful, clean mountains and rivers. Its name is derived from the Korean word <em>eoureojida,</em> meaning ""to meet"" as the waters of Pyeongchang and Samcheok unite in this area.<br /><br />Part of the upper stream of Namhangang River, Auraji was a famous starting point of log rafts transporting timber to Hanyang, the original name of Seoul. In the old days, one could always hear the singing of boatmen who came from all over the nation. The lyrics of Jeongseon Arirang reveal the sadness and longing of a woman awaiting her husband who left for business to a far-away place or left to transport timber.",http://tong.visitkorea.or.kr/cms/resource/41/2395941_image2_1.jpg,"69, Auraji-gil, Jeongseon-gun, Gangwon-do",128.72398793,37.4758305379,"['sadness', 'famous', 'jeongseongun', 'waters', 'name', 'lyrics', 'log', 'yeoryangmyeon', 'rafts', 'transport', 'arirang', 'singing', 'pyeongchang', 'long', 'stream', 'clean', 'emeoureojidaem', 'samcheok', 'hanyang', 'lake', 'jeongseon', 'intangible', 'reveal', 'meaning', 'mountains', 'point', 'unite', 'nation', 'derived', 'asset', 'namhangang', 'business', 'areabr', 'boatmen', 'upper', 'hear', 'beautiful', 'auraji', 'transporting', 'original', 'cultural', 'always', 'days', 'starting', 'river', 'came', 'originated', 'old', 'part', 'seoul', 'rivers', 'timber', 'husband', 'awaiting', 'br', 'could', 'meet', 'longing', 'left', 'korean', 'word', 'woman', 'faraway']"
24,2694590,82,Badahoe Myungga Haewon (바다회명가해원),"It is a place with separate rooms for family gatherings and group dining. This Japanese (cuisine) restaurant is located in Wonju-si, Gangwon-do. The most famous menu is sliced raw fish.",http://tong.visitkorea.or.kr/cms/resource/02/2701302_image2_1.jpg,"64, Yangji-ro, Wonju-si, Gangwon-do",127.9849616659,37.3268698547,"['raw', 'famous', 'dining', 'cuisine', 'fish', 'separate', 'wonjusi', 'menu', 'sliced', 'restaurant', 'family', 'rooms', 'gatherings', 'japanese', 'group']"
25,2676734,82,Badareul Damda (바다를담다),"It is a place where you can eat fresh seafood with the view of Hourglass Park. This seafood restaurant is located in Gangneung-si, Gangwon-do. The most famous menu is steamed snow crab.",http://tong.visitkorea.or.kr/cms/resource/83/2671083_image2_1.jpg,"1025, Heonhwa-ro, Gangneung-si, Gangwon-do",129.0359784359,37.6864678321,"['view', 'famous', 'hourglass', 'eat', 'fresh', 'park', 'steamed', 'menu', 'crab', 'gangneungsi', 'snow', 'restaurant', 'seafood']"
26,2694820,82,Badayangpuni Dongtaetang Wonjhyeoksin(바다양푼이동태탕 원주혁신),"A good place to visit when you want to eat hot soup. This Korean dishes restaurant is located in Wonju-si, Gangwon-do. The most famous menu is pollack soup.",http://tong.visitkorea.or.kr/cms/resource/47/2701347_image2_1.jpg,12 Yangjitteul 4-gil Wonju-si Gangwon-do,127.9836062134,37.327525309,"['hot', 'famous', 'dishes', 'good', 'eat', 'soup', 'wonjusi', 'menu', 'restaurant', 'pollack', 'korean', 'visit', 'want']"
27,264232,76,Baekdamgyegok Valley (백담계곡),"Baekdamgyegok Valley stretches over an eight kilometer section from Baekdamsa Temple to Yongdae-ri in Inje-gun. The valley has a road, but it is closed to general traffic. The valley is located within Seoraksan National Park. The stream running through the valley is wide and deep. The name of the valley comes from the claim that there are one hundred ('baek' in Korea) pools ('dam')  of water along the valley. Baekdamgyegok Valley features clean water and lush forests.",http://tong.visitkorea.or.kr/cms/resource/07/769207_image2_1.jpg,"150, Baekdam-ro, Inje-gun, Gangwon-do",128.3573602695,38.1919404619,"['running', 'name', 'kilometer', 'baekdamsa', 'eight', 'baek', 'stream', 'wide', 'hundred', 'clean', 'temple', 'traffic', 'national', 'deep', 'general', 'injegun', 'seoraksan', 'road', 'pools', 'stretches', 'park', 'comes', 'along', 'valley', 'features', 'water', 'forests', 'claim', 'section', 'yongdaeri', 'closed', 'baekdamgyegok', 'within', 'dam', 'lush']"
